iter	Passed	Remaining
0	3	3449
1	6	3057
2	8	2875
3	11	2746
4	13	2637
5	15	2531
6	17	2458
7	19	2365
8	20	2281
9	22	2205
10	23	2148
11	25	2102
12	26	2038
13	28	1993
14	29	1948
15	31	1920
16	32	1890
17	34	1866
18	35	1842
19	37	1821
20	38	1801
21	40	1784
22	41	1767
23	43	1751
24	44	1737
25	45	1721
26	47	1708
27	48	1698
28	50	1687
29	51	1677
30	53	1668
31	54	1659
32	56	1650
33	57	1643
34	59	1638
35	60	1632
36	62	1615
37	63	1607
38	64	1601
39	66	1596
40	68	1590
41	69	1590
42	71	1585
43	72	1579
44	74	1576
45	75	1572
46	77	1568
47	78	1566
48	80	1562
49	81	1557
50	83	1553
51	84	1549
52	86	1544
53	87	1540
54	89	1540
55	91	1537
56	92	1532
57	94	1529
58	95	1524
59	97	1521
60	98	1517
61	100	1514
62	101	1510
63	103	1507
64	104	1504
65	106	1501
66	107	1499
67	109	1496
68	110	1493
69	112	1489
70	113	1485
71	115	1482
72	116	1480
73	118	1477
74	119	1474
75	121	1472
76	122	1469
77	123	1465
78	125	1463
79	127	1460
80	128	1457
81	129	1454
82	131	1451
83	132	1448
84	134	1446
85	136	1445
86	137	1443
87	139	1440
88	140	1438
89	141	1435
90	143	1433
91	144	1430
92	146	1427
93	147	1424
94	149	1422
95	150	1419
96	152	1417
97	153	1414
98	155	1413
99	156	1410
100	158	1408
101	159	1406
102	161	1404
103	162	1402
104	164	1399
105	165	1397
106	167	1394
107	168	1392
108	170	1390
109	171	1387
110	172	1385
111	174	1383
112	175	1381
113	177	1379
114	179	1377
115	180	1375
116	182	1373
117	183	1371
118	185	1370
119	186	1368
120	188	1366
121	189	1364
122	191	1362
123	192	1360
124	194	1358
125	195	1357
126	197	1355
127	198	1353
128	200	1351
129	201	1350
130	203	1348
131	204	1346
132	206	1345
133	207	1343
134	209	1341
135	210	1339
136	212	1337
137	213	1335
138	215	1333
139	216	1331
140	218	1329
141	219	1328
142	221	1326
143	222	1325
144	224	1323
145	225	1321
146	227	1319
147	228	1317
148	230	1315
149	231	1313
150	233	1312
151	234	1310
152	236	1308
153	237	1306
154	239	1304
155	240	1302
156	242	1301
157	243	1299
158	245	1297
159	246	1296
160	248	1294
161	249	1292
162	251	1291
163	253	1289
164	254	1288
165	256	1286
166	257	1284
167	259	1282
168	260	1281
169	262	1279
170	263	1277
171	265	1275
172	266	1274
